TC ID,Module,Test Case Title,Priority,Precondition,Step No,Step Description,Expected Result,Test Data (Excel Column),Type
TC-1.2,Login & Authentication,Login with Invalid Email Format,P1 - High,None,1,Open application URL: https://auth.uat.pluginlive.com/,Login page is displayed,N/A,Negative
TC-1.2,Login & Authentication,Login with Invalid Email Format,P1 - High,None,2,"Enter invalid email format (e.g., student@, student.com, @domain)",Email entered in textfield,N/A,Negative
TC-1.2,Login & Authentication,Login with Invalid Email Format,P1 - High,None,3,Enter any password,Password entered,N/A,Negative
TC-1.2,Login & Authentication,Login with Invalid Email Format,P1 - High,None,4,Click Agree checkbox,Checkbox is checked,N/A,Negative
TC-1.2,Login & Authentication,Login with Invalid Email Format,P1 - High,None,5,Click Login button,Error: 'Please enter a valid email address'. Login blocked,N/A,Negative
TC-1.3,Login & Authentication,Login with Empty Credentials,P1 - High,None,1,Open application URL,Login page is displayed,N/A,Negative
TC-1.3,Login & Authentication,Login with Empty Credentials,P1 - High,None,2,Leave email field empty,Email field is empty,N/A,Negative
TC-1.3,Login & Authentication,Login with Empty Credentials,P1 - High,None,3,Leave password field empty,Password field is empty,N/A,Negative
TC-1.3,Login & Authentication,Login with Empty Credentials,P1 - High,None,4,Click Login button,Error: 'This field is required' shown for both fields. Login blocked,N/A,Negative
TC-1.4,Login & Authentication,Login without Agree Checkbox,P1 - High,None,1,Open application URL,Login page is displayed,N/A,Negative
TC-1.4,Login & Authentication,Login without Agree Checkbox,P1 - High,None,2,Enter valid email and password,Credentials entered,Student-Email-ID / Student-PassWord,Negative
TC-1.4,Login & Authentication,Login without Agree Checkbox,P1 - High,None,3,Do NOT click Agree checkbox,Checkbox remains unchecked,N/A,Negative
TC-1.4,Login & Authentication,Login without Agree Checkbox,P1 - High,None,4,Click Login button,Login blocked. User prompted to accept terms,N/A,Negative
TC-1.5,Login & Authentication,Login with Invalid Credentials (Wrong Password),P1 - High,Valid email exists,1,Open application URL,Login page is displayed,N/A,Negative
TC-1.5,Login & Authentication,Login with Invalid Credentials (Wrong Password),P1 - High,Valid email exists,2,Enter valid email,Email entered,Student-Email-ID,Negative
TC-1.5,Login & Authentication,Login with Invalid Credentials (Wrong Password),P1 - High,Valid email exists,3,Enter incorrect password,Wrong password entered,N/A,Negative
TC-1.5,Login & Authentication,Login with Invalid Credentials (Wrong Password),P1 - High,Valid email exists,4,Click Agree checkbox and Login button,Error: 'Invalid credentials'. Login blocked,N/A,Negative
TC-3.3,Role Page,Search for Non-Existent Role,P1 - High,User on Roles page,1,Enter a role name that does not exist in the system,Text entered in search bar,N/A,Negative
