TC ID,Module,Test Case Title,Priority,Precondition,Step No,Step Description,Expected Result,Test Data (Excel Column),Type
TC-1.1,Login & Authentication,Valid Login with Agree Checkbox,P0 - Critical,Valid student account exists,1,Open application URL: https://auth.uat.pluginlive.com/,Login page is displayed with email textfield - password textfield - Agree checkbox - Login button,N/A,Positive
TC-1.1,Login & Authentication,Valid Login with Agree Checkbox,P0 - Critical,Valid student account exists,2,Enter valid email in the email textfield,Email is entered and displayed in the field,Student-Email-ID,Positive
TC-1.1,Login & Authentication,Valid Login with Agree Checkbox,P0 - Critical,Valid student account exists,3,Enter valid password in the password textfield,Password is entered and masked (dots/asterisks),Student-PassWord,Positive
TC-1.1,Login & Authentication,Valid Login with Agree Checkbox,P0 - Critical,Valid student account exists,4,Click the 'Agree' checkbox (Terms & Conditions),Checkbox becomes checked/ticked,N/A,Positive
TC-1.1,Login & Authentication,Valid Login with Agree Checkbox,P0 - Critical,Valid student account exists,5,Click the Login button,Login request is sent to the server,N/A,Positive
TC-1.1,Login & Authentication,Valid Login with Agree Checkbox,P0 - Critical,Valid student account exists,6,Wait for redirect to Dashboard,Dashboard is visible within 15 seconds. URL contains /dashboard,N/A,Positive
TC-2.1,Dashboard & Navigation,Verify Dashboard Side Menu and Action Buttons,P0 - Critical,User logged in and Dashboard visible,1,Verify Dashboard page is fully loaded,Dashboard content is visible,N/A,Positive
TC-2.1,Dashboard & Navigation,Verify Dashboard Side Menu and Action Buttons,P0 - Critical,User logged in and Dashboard visible,2,Verify side menu is visible on the left with 7 options,Side menu displays: Dashboard (highlighted) - Roles - Applied Roles - Assessment - Interview/Drive - Offer Received - Events,N/A,Positive
TC-2.1,Dashboard & Navigation,Verify Dashboard Side Menu and Action Buttons,P0 - Critical,User logged in and Dashboard visible,3,Verify additional action buttons are visible,'Complete Now' and 'My Resume' buttons are visible on the page,N/A,Positive
TC-2.2,Dashboard & Navigation,Navigate to Roles Page via Side Menu,P0 - Critical,User on Dashboard,1,Click on 'Roles' from the side menu,Roles page loads successfully. Side menu highlights 'Roles' as active. URL reflects Roles page,N/A,Positive
TC-3.1,Role Page,Search for a Role,P0 - Critical,User on Roles page,1,Verify the Role search bar is displayed at the top,Search input field is visible and accepts text input,N/A,Positive
TC-3.1,Role Page,Search for a Role,P0 - Critical,User on Roles page,2,Enter the role name in the search bar,Typed text appears in the search field. System filters/searches for matching roles,Role-Name,Positive
TC-3.1,Role Page,Search for a Role,P0 - Critical,User on Roles page,3,Verify search results are displayed,Matching role cards/listings appear. Each card shows role name and relevant details,Role-Name,Positive
TC-3.2,Role Page,Click Check Eligibility,P0 - Critical,Search results visible with desired role,1,Click on 'Check Eligibility' button on the desired role card,Check Eligibility page/modal opens. System evaluates student eligibility status,N/A,Positive
TC-4.1,Check Eligibility,View Eligibility Criteria and Navigate to Skills,P0 - Critical,Check Eligibility page open,1,Verify eligibility criteria sections are displayed,Sections visible (Skills - Education - Experience etc.). Each section shows met/not met status,N/A,Positive
TC-4.1,Check Eligibility,View Eligibility Criteria and Navigate to Skills,P0 - Critical,Check Eligibility page open,2,Click on the 'Skills' section,Skills section expands or navigates to Skills page. Mandatory skills for the role are displayed,N/A,Positive
TC-5.1,Skills Page,View Mandatory Skills and Open Add Skill,P0 - Critical,Skills page visible,1,Verify the Mandatory Skills section is visible,List of required skills shown. Each skill shows fulfilled or pending status,N/A,Positive
TC-5.1,Skills Page,View Mandatory Skills and Open Add Skill,P0 - Critical,Skills page visible,2,Click on the '+' (Add Skill) icon,Add Skill page/modal opens. Two areas displayed: Skill Category Selection (top) and Additional Skill Input Options (bottom),N/A,Positive
TC-6.1,Skill Category - Academics,Add Skill via Academics - Select 10th Only,P0 - Critical,Add Skill page open,1,Verify all 5 skill categories are displayed,Categories visible: `,N/A,Positive
TC-6.1,Skill Category - Academics,Add Skill via Academics - Select 10th Only,P0 - Critical,Add Skill page open,2,Click on 'Academics' category,Academics section expands. Two checkboxes displayed: '10th' and '12th',Skill-Category = Academics,Positive
TC-6.1,Skill Category - Academics,Add Skill via Academics - Select 10th Only,P0 - Critical,Add Skill page open,3,Select the '10th' checkbox only,10th checkbox is checked. 12th checkbox remains unchecked. Academic skills from 10th record are picked for eligibility,Skill-Academics = 10th,Positive
TC-6.1,Skill Category - Academics,Add Skill via Academics - Select 10th Only,P0 - Critical,Add Skill page open,4,Click on the 'Add' button,'Added Successfully' confirmation label is displayed on screen,N/A,Positive
TC-6.1,Skill Category - Academics,Add Skill via Academics - Select 10th Only,P0 - Critical,Add Skill page open,5,Verify 'Added Successfully' label is visible,Label text 'Added Successfully' is present and visible on the page,N/A,Positive
TC-6.1,Skill Category - Academics,Add Skill via Academics - Select 10th Only,P0 - Critical,Add Skill page open,6,Click on the 'Update & Apply' button,Eligibility status updated. User redirected back to Role page,N/A,Positive
TC-6.2,Skill Category - Academics,Add Skill via Academics - Select 12th Only,P0 - Critical,Add Skill page open,1,Click on 'Academics' category,Academics section expands. Two checkboxes: '10th' and '12th',Skill-Category = Academics,Positive
TC-6.2,Skill Category - Academics,Add Skill via Academics - Select 12th Only,P0 - Critical,Add Skill page open,2,Select the '12th' checkbox only,12th checkbox is checked. 10th remains unchecked. Academic skills from 12th record picked,Skill-Academics = 12th,Positive
