TC ID,Module,Test Case Title,Priority,Precondition,Step No,Step Description,Expected Result,Test Data (Excel Column),Type
TC-1.2,Login & Authentication,Login with Invalid Email,P1 - High,None,1,Open application URL,Login page is displayed,N/A,Negative
TC-1.2,Login & Authentication,Login with Invalid Email,P1 - High,None,2,"Enter invalid email format (e.g., student@, student.com)",Email entered in textfield,N/A,Negative
TC-1.2,Login & Authentication,Login with Invalid Email,P1 - High,None,3,Enter any password,Password entered,N/A,Negative
TC-1.2,Login & Authentication,Login with Invalid Email,P1 - High,None,4,Click terms checkbox,Checkbox is checked,N/A,Negative
TC-1.2,Login & Authentication,Login with Invalid Email,P1 - High,None,5,Click Login button,Error: 'Please enter a valid email address'. Login blocked,N/A,Negative
TC-1.3,Login & Authentication,Login with Empty Credentials,P1 - High,None,1,Open application URL,Login page is displayed,N/A,Negative
TC-1.3,Login & Authentication,Login with Empty Credentials,P1 - High,None,2,Leave email field empty,Email field is empty,N/A,Negative
TC-1.3,Login & Authentication,Login with Empty Credentials,P1 - High,None,3,Leave password field empty,Password field is empty,N/A,Negative
TC-1.3,Login & Authentication,Login with Empty Credentials,P1 - High,None,4,Click Login button,Error: 'This field is required' shown for both fields. Login blocked,N/A,Negative
TC-1.4,Login & Authentication,Login without Terms Checkbox,P1 - High,None,1,Open application URL,Login page is displayed,N/A,Negative
TC-1.4,Login & Authentication,Login without Terms Checkbox,P1 - High,None,2,Enter valid email and password,Credentials entered,Student-Email-ID / Student-PassWord,Negative
TC-1.4,Login & Authentication,Login without Terms Checkbox,P1 - High,None,3,Do NOT click terms checkbox,Checkbox remains unchecked,N/A,Negative
TC-1.4,Login & Authentication,Login without Terms Checkbox,P1 - High,None,4,Click Login button,Login blocked. User prompted to accept terms,N/A,Negative
TC-3.3,Personal Information,Invalid Pincode (less than 6 digits),P1 - High,Personal Info modal open,1,Enter pincode with less than 6 digits (e.g. 600),Pincode field shows value,N/A,Negative
TC-3.3,Personal Information,Invalid Pincode (less than 6 digits),P1 - High,Personal Info modal open,2,Click Update button,Error: 'Pincode must be 6 digits'. Update blocked,N/A,Negative
TC-3.4,Personal Information,Required Fields Empty,P1 - High,Personal Info modal open,1,Leave Country / State / City / Pincode empty,Fields are empty,N/A,Negative
TC-3.4,Personal Information,Required Fields Empty,P1 - High,Personal Info modal open,2,Click Update button,Error: 'This field is required' for each empty field. Update blocked,N/A,Negative
TC-4.2,Education - 10th Standard,10th Percentage Out of Range,P1 - High,Education modal open,1,Enter percentage > 100 (e.g. 105),Value entered in field,N/A,Negative
TC-4.2,Education - 10th Standard,10th Percentage Out of Range,P1 - High,Education modal open,2,Click Update button,Error: 'Percentage must be between 0 and 100'. Update blocked,N/A,Negative
TC-4.3,Education - 10th Standard,10th Required Fields Empty,P1 - High,Education modal open,1,Leave Board / Year / Percentage empty,Fields are empty,N/A,Negative
TC-4.3,Education - 10th Standard,10th Required Fields Empty,P1 - High,Education modal open,2,Click Update button,Error: 'This field is required'. Update blocked,N/A,Negative
TC-5.3,Education - 12th Standard,12th Year Before 10th Year,P1 - High,10th Year = 2018,1,Select 12th Year = 2017 (before 10th year),Year selected,N/A,Negative
TC-5.3,Education - 12th Standard,12th Year Before 10th Year,P1 - High,10th Year = 2018,2,Click Update button,Error: '12th year must be after 10th year'. Update blocked,N/A,Negative
