TC ID,Module,Test Case Title,Priority,Precondition,Step No,Step Description,Expected Result,Test Data (Excel Column),Type
TC-1.1,Login & Authentication,Valid Login with Terms Checkbox,P0 - Critical,Valid student account exists,1,Open application URL: https://auth.uat.pluginlive.com/,Login page is displayed with email and password fields,N/A,Positive
TC-1.1,Login & Authentication,Valid Login with Terms Checkbox,P0 - Critical,Valid student account exists,2,Enter valid email in the email textfield,Email is entered successfully,Student-Email-ID,Positive
TC-1.1,Login & Authentication,Valid Login with Terms Checkbox,P0 - Critical,Valid student account exists,3,Enter valid password in the password textfield,Password is entered (masked),Student-PassWord,Positive
TC-1.1,Login & Authentication,Valid Login with Terms Checkbox,P0 - Critical,Valid student account exists,4,Click the 'Agree to terms and conditions' checkbox,Checkbox is checked,N/A,Positive
TC-1.1,Login & Authentication,Valid Login with Terms Checkbox,P0 - Critical,Valid student account exists,5,Click the Login button,Login request is sent,N/A,Positive
TC-1.1,Login & Authentication,Valid Login with Terms Checkbox,P0 - Critical,Valid student account exists,6,Wait for redirect to Dashboard,Dashboard is visible within 15 seconds. URL contains /dashboard,N/A,Positive
TC-2.1,Resume Navigation,Navigate to My Resume from Dashboard,P0 - Critical,User logged in and Dashboard visible,1,Verify Dashboard page is fully loaded,Dashboard content is visible,N/A,Positive
TC-2.1,Resume Navigation,Navigate to My Resume from Dashboard,P0 - Critical,User logged in and Dashboard visible,2,Click 'My Resume' button on Dashboard,Resume page loads successfully,N/A,Positive
TC-2.1,Resume Navigation,Navigate to My Resume from Dashboard,P0 - Critical,User logged in and Dashboard visible,3,Verify all section icons are visible,"Personal Info, Education, Internship, Certificate, Project, Work Experience icons visible",N/A,Positive
TC-2.2,Resume Navigation,All Section Icons are Clickable,P0 - Critical,On Resume page,1,Click Personal Information icon,Personal Info modal/drawer opens,N/A,Positive
TC-2.2,Resume Navigation,All Section Icons are Clickable,P0 - Critical,On Resume page,2,Close the modal,Modal closes,N/A,Positive
TC-2.2,Resume Navigation,All Section Icons are Clickable,P0 - Critical,On Resume page,3,Repeat click for Education icon,Education modal opens,N/A,Positive
TC-2.2,Resume Navigation,All Section Icons are Clickable,P0 - Critical,On Resume page,4,Repeat for Internship / Certificate / Project / Work Experience,Each icon opens its corresponding section modal,N/A,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,1,Click Additional Information icon,Additional Information modal/drawer opens,N/A,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,2,Handle location preference: If AnyWhere/JobLocation = 'Anywhere' then click Anywhere checkbox. If 'JobLocation' then fill preferred location textfield (Eg.Chennai),Location preference is set based on Excel data,AnyWhere/JobLocation + JobLocation,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,3,Click on Country textfield dropdown and type to search. Select matching country,Country is selected,Country,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,4,Click on State textfield dropdown (cascades from Country) and type to search. Select matching state,State is selected. State options filtered by Country,State,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,5,Click on City textfield dropdown (cascades from State) and type to search. Select matching city,City is selected. City options filtered by State,City,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,6,Click Pincode textfield. Clear existing value. Type 6-digit pincode,Pincode is entered (6 digits numeric),Pincode,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,7,Click 'Same as Permanent Address' checkbox,Communication address auto-copied from permanent address,N/A,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,8,Click Update button,Data saved. Modal closes within 3 seconds,N/A,Positive
TC-3.2,Personal Information,Fill Personal Info - JobLocation preference,P0 - Critical,Resume page open,1,Click Additional Information icon,Modal opens,N/A,Positive
TC-3.2,Personal Information,Fill Personal Info - JobLocation preference,P0 - Critical,Resume page open,2,AnyWhere/JobLocation = 'JobLocation'. Click preferred location textfield (span text 'Eg.Chennai'). Type location name. Select from dropdown,"Preferred location is filled (e.g., Chennai)",AnyWhere/JobLocation = JobLocation + JobLocation = Chennai,Positive
TC-3.2,Personal Information,Fill Personal Info - JobLocation preference,P0 - Critical,Resume page open,3,Fill Country / State / City / Pincode as TC-3.1 steps 3-6,Address fields filled,Country / State / City / Pincode,Positive
TC-3.2,Personal Information,Fill Personal Info - JobLocation preference,P0 - Critical,Resume page open,4,Click Update button,Data saved. Modal closes,N/A,Positive
TC-4.1,Education - 10th Standard,Fill 10th Standard - Valid Data,P0 - Critical,Resume page open,1,Click Education section icon,Education modal opens,N/A,Positive
TC-4.1,Education - 10th Standard,Fill 10th Standard - Valid Data,P0 - Critical,Resume page open,2,Click on Board textfield dropdown. Type board name. Select matching option,Board selected (e.g. CBSE),10th-Board,Positive
TC-4.1,Education - 10th Standard,Fill 10th Standard - Valid Data,P0 - Critical,Resume page open,3,Click on Year textfield dropdown. Select passing year,Year selected,10th-Year,Positive
TC-4.1,Education - 10th Standard,Fill 10th Standard - Valid Data,P0 - Critical,Resume page open,4,Click Percentage textfield. Enter percentage value (0-100),Percentage entered,10th-percentage,Positive
TC-5.1,Education - 12th Standard,Select 12th Path,P0 - Critical,10th data filled,1,Click Qualification 12th button to expand path selector,Path selector (12th / Diploma) is visible,N/A,Positive
TC-5.1,Education - 12th Standard,Select 12th Path,P0 - Critical,10th data filled,2,Select '12th' option from path selector,12th fields become visible. Diploma fields hidden,12th-Diploma = 12th,Positive
TC-5.2,Education - 12th Standard,Fill 12th Standard - Valid Data,P0 - Critical,12th path selected,1,Click on Board textfield dropdown. Type board name. Select matching option,Board selected,12th-Board,Positive
TC-5.2,Education - 12th Standard,Fill 12th Standard - Valid Data,P0 - Critical,12th path selected,2,Click on Year textfield dropdown. Select year (must be after 10th year),Year selected (validated > 10th year),12th-Year,Positive
TC-5.2,Education - 12th Standard,Fill 12th Standard - Valid Data,P0 - Critical,12th path selected,3,Click Percentage textfield. Enter percentage (0-100),Percentage entered,12th-percentage,Positive
TC-5.2,Education - 12th Standard,Fill 12th Standard - Valid Data,P0 - Critical,12th path selected,4,Click Update button,Education data saved. Modal closes,N/A,Positive
TC-6.1,Education - Diploma,Select Diploma Path,P0 - Critical,10th data filled,1,Click Qualification 12th button to expand path selector,Path selector visible,N/A,Positive
