TC ID,Module,Test Case Title,Priority,Precondition,Step No,Step Description,Expected Result,Test Data (Excel Column),Type
TC-1.1,Login & Authentication,Valid Login with Terms Checkbox,P0 - Critical,Valid student account exists,1,Open application URL: https://auth.uat.pluginlive.com/,Login page is displayed with email and password fields,N/A,Positive
TC-1.1,Login & Authentication,Valid Login with Terms Checkbox,P0 - Critical,Valid student account exists,2,Enter valid email in the email textfield,Email is entered successfully,Student-Email-ID,Positive
TC-1.1,Login & Authentication,Valid Login with Terms Checkbox,P0 - Critical,Valid student account exists,3,Enter valid password in the password textfield,Password is entered (masked),Student-PassWord,Positive
TC-1.1,Login & Authentication,Valid Login with Terms Checkbox,P0 - Critical,Valid student account exists,4,Click the 'Agree to terms and conditions' checkbox,Checkbox is checked,N/A,Positive
TC-1.1,Login & Authentication,Valid Login with Terms Checkbox,P0 - Critical,Valid student account exists,5,Click the Login button,Login request is sent,N/A,Positive
TC-1.1,Login & Authentication,Valid Login with Terms Checkbox,P0 - Critical,Valid student account exists,6,Wait for redirect to Dashboard,Dashboard is visible within 15 seconds. URL contains /dashboard,N/A,Positive
TC-1.2,Login & Authentication,Login with Invalid Email,P1 - High,None,1,Open application URL,Login page is displayed,N/A,Negative
TC-1.2,Login & Authentication,Login with Invalid Email,P1 - High,None,2,"Enter invalid email format (e.g., student@, student.com)",Email entered in textfield,N/A,Negative
TC-1.2,Login & Authentication,Login with Invalid Email,P1 - High,None,3,Enter any password,Password entered,N/A,Negative
TC-1.2,Login & Authentication,Login with Invalid Email,P1 - High,None,4,Click terms checkbox,Checkbox is checked,N/A,Negative
TC-1.2,Login & Authentication,Login with Invalid Email,P1 - High,None,5,Click Login button,Error: 'Please enter a valid email address'. Login blocked,N/A,Negative
TC-1.3,Login & Authentication,Login with Empty Credentials,P1 - High,None,1,Open application URL,Login page is displayed,N/A,Negative
TC-1.3,Login & Authentication,Login with Empty Credentials,P1 - High,None,2,Leave email field empty,Email field is empty,N/A,Negative
TC-1.3,Login & Authentication,Login with Empty Credentials,P1 - High,None,3,Leave password field empty,Password field is empty,N/A,Negative
TC-1.3,Login & Authentication,Login with Empty Credentials,P1 - High,None,4,Click Login button,Error: 'This field is required' shown for both fields. Login blocked,N/A,Negative
TC-1.4,Login & Authentication,Login without Terms Checkbox,P1 - High,None,1,Open application URL,Login page is displayed,N/A,Negative
TC-1.4,Login & Authentication,Login without Terms Checkbox,P1 - High,None,2,Enter valid email and password,Credentials entered,Student-Email-ID / Student-PassWord,Negative
TC-1.4,Login & Authentication,Login without Terms Checkbox,P1 - High,None,3,Do NOT click terms checkbox,Checkbox remains unchecked,N/A,Negative
TC-1.4,Login & Authentication,Login without Terms Checkbox,P1 - High,None,4,Click Login button,Login blocked. User prompted to accept terms,N/A,Negative
TC-2.1,Resume Navigation,Navigate to My Resume from Dashboard,P0 - Critical,User logged in and Dashboard visible,1,Verify Dashboard page is fully loaded,Dashboard content is visible,N/A,Positive
TC-2.1,Resume Navigation,Navigate to My Resume from Dashboard,P0 - Critical,User logged in and Dashboard visible,2,Click 'My Resume' button on Dashboard,Resume page loads successfully,N/A,Positive
TC-2.1,Resume Navigation,Navigate to My Resume from Dashboard,P0 - Critical,User logged in and Dashboard visible,3,Verify all section icons are visible,"Personal Info, Education, Internship, Certificate, Project, Work Experience icons visible",N/A,Positive
TC-2.2,Resume Navigation,All Section Icons are Clickable,P0 - Critical,On Resume page,1,Click Personal Information icon,Personal Info modal/drawer opens,N/A,Positive
TC-2.2,Resume Navigation,All Section Icons are Clickable,P0 - Critical,On Resume page,2,Close the modal,Modal closes,N/A,Positive
TC-2.2,Resume Navigation,All Section Icons are Clickable,P0 - Critical,On Resume page,3,Repeat click for Education icon,Education modal opens,N/A,Positive
TC-2.2,Resume Navigation,All Section Icons are Clickable,P0 - Critical,On Resume page,4,Repeat for Internship / Certificate / Project / Work Experience,Each icon opens its corresponding section modal,N/A,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,1,Click Additional Information icon,Additional Information modal/drawer opens,N/A,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,2,Handle location preference: If AnyWhere/JobLocation = 'Anywhere' then click Anywhere checkbox. If 'JobLocation' then fill preferred location textfield (Eg.Chennai),Location preference is set based on Excel data,AnyWhere/JobLocation + JobLocation,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,3,Click on Country textfield dropdown and type to search. Select matching country,Country is selected,Country,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,4,Click on State textfield dropdown (cascades from Country) and type to search. Select matching state,State is selected. State options filtered by Country,State,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,5,Click on City textfield dropdown (cascades from State) and type to search. Select matching city,City is selected. City options filtered by State,City,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,6,Click Pincode textfield. Clear existing value. Type 6-digit pincode,Pincode is entered (6 digits numeric),Pincode,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,7,Click 'Same as Permanent Address' checkbox,Communication address auto-copied from permanent address,N/A,Positive
TC-3.1,Personal Information,Fill Personal Info - Anywhere + Valid Address,P0 - Critical,Resume page open,8,Click Update button,Data saved. Modal closes within 3 seconds,N/A,Positive
TC-3.2,Personal Information,Fill Personal Info - JobLocation preference,P0 - Critical,Resume page open,1,Click Additional Information icon,Modal opens,N/A,Positive
TC-3.2,Personal Information,Fill Personal Info - JobLocation preference,P0 - Critical,Resume page open,2,AnyWhere/JobLocation = 'JobLocation'. Click preferred location textfield (span text 'Eg.Chennai'). Type location name. Select from dropdown,"Preferred location is filled (e.g., Chennai)",AnyWhere/JobLocation = JobLocation + JobLocation = Chennai,Positive
TC-3.2,Personal Information,Fill Personal Info - JobLocation preference,P0 - Critical,Resume page open,3,Fill Country / State / City / Pincode as TC-3.1 steps 3-6,Address fields filled,Country / State / City / Pincode,Positive
TC-3.2,Personal Information,Fill Personal Info - JobLocation preference,P0 - Critical,Resume page open,4,Click Update button,Data saved. Modal closes,N/A,Positive
TC-3.3,Personal Information,Invalid Pincode (less than 6 digits),P1 - High,Personal Info modal open,1,Enter pincode with less than 6 digits (e.g. 600),Pincode field shows value,N/A,Negative
